Date,Open,High,Low,Close,Volume,MA9,MA21,uptrend,downtrend,upcross,downcross
2025-10-15 00:00:00+00:00,113113.96875,113622.3828125,110235.8359375,110783.1640625,72574132855,116097.41753472222,116485.14694940476,0,1,,
2025-10-16 00:00:00+00:00,110782.171875,111990.8125,107537.03125,108186.0390625,87306423067,114623.49045138889,116444.03980654762,0,1,,
2025-10-17 00:00:00+00:00,108179.1328125,109235.8046875,103598.4296875,106467.7890625,99703051669,112747.1484375,116289.51413690476,0,1,,
2025-10-18 00:00:00+00:00,106483.734375,107490.984375,106387.453125,107198.265625,37779905278,111135.22395833333,116171.24367559524,0,1,,
2025-10-19 00:00:00+00:00,107204.3125,109488.9921875,106157.7890625,108666.7109375,47657008953,110629.92881944444,116006.67559523809,0,1,,
2025-10-20 00:00:00+00:00,108667.4453125,111711.03125,107485.015625,110588.9296875,63507793085,110605.60069444444,115825.17782738095,0,1,,
2025-10-21 00:00:00+00:00,110587.6328125,113996.34375,107534.75,108476.890625,101194375480,109861.94791666667,115559.50186011905,0,1,,
2025-10-22 00:00:00+00:00,108491.53125,109115.1328125,106778.0,107688.5859375,80807013218,109019.44878472222,115037.58072916667,0,1,,
2025-10-23 00:00:00+00:00,107679.4375,111288.59375,107548.4296875,110069.7265625,54944076060,108680.67795138889,114532.26971726191,0,1,,
2025-10-24 00:00:00+00:00,110069.3515625,111842.53125,109770.1484375,111033.921875,48160816980,108708.53993055556,113997.38355654762,0,1,,
2025-10-25 00:00:00+00:00,111032.6171875,111947.703125,110704.40625,111641.7265625,24707667305,109092.50520833333,113483.87388392857,0,1,,
2025-10-26 00:00:00+00:00,111639.0546875,115260.90625,111268.484375,114472.4453125,41708524143,109981.91145833333,113053.34858630953,1,0,114472.4453125,
2025-10-27 00:00:00+00:00,114479.8515625,116273.3125,113882.2890625,114119.328125,61761358733,110750.91840277778,112547.00558035714,1,0,,
2025-10-28 00:00:00+00:00,114129.0859375,116078.984375,112291.6796875,112956.1640625,64528066504,111227.52430555556,112142.47135416667,1,0,,
2025-10-29 00:00:00+00:00,112921.328125,113642.7265625,109368.71875,110055.3046875,62192043469,111168.23263888889,111509.15885416667,0,1,,110055.3046875
2025-10-30 00:00:00+00:00,110059.1953125,111612.3515625,106376.6875,108305.546875,69673964814,111149.19444444444,110871.06175595238,0,1,,
2025-10-31 00:00:00+00:00,108304.4140625,111031.8203125,108288.2734375,109556.1640625,60090359560,111356.703125,110696.86160714286,0,1,,
2025-11-01 00:00:00+00:00,109558.625,110574.8984375,109372.953125,110064.015625,25871668762,111356.06857638889,110661.43936011905,0,1,,
2025-11-02 00:00:00+00:00,110064.4296875,111167.3125,109523.453125,110639.625,34284209459,111312.2578125,110445.71837797618,1,0,110639.625,
2025-11-03 00:00:00+00:00,110646.90625,110764.9140625,105336.359375,106547.5234375,72852006359,110746.23524305556,110030.31101190476,0,1,,106547.5234375
2025-11-04 00:00:00+00:00,106541.421875,107264.8828125,98962.0625,101590.5234375,110967184773,109314.91059027778,109481.35193452382,0,1,,
2025-11-05 00:00:00+00:00,101579.234375,104534.703125,98989.9140625,103891.8359375,77584934804,108178.52256944444,109153.19345238095,0,1,,
2025-11-06 00:00:00+00:00,103893.6640625,104147.3046875,100336.8671875,101301.2890625,63932752861,106883.53645833333,108825.34821428571,0,1,,
2025-11-07 00:00:00+00:00,101286.2421875,104052.9140625,99257.0546875,103372.40625,92168030081,106140.9921875,108677.94903273809,0,1,,
2025-11-08 00:00:00+00:00,103371.703125,103373.5625,101458.0390625,102282.1171875,51446691095,105471.72222222222,108443.84672619047,0,1,,
2025-11-09 00:00:00+00:00,102278.984375,105418.3671875,101468.875,104719.640625,59679243013,104934.33072916667,108255.89099702382,0,1,,
2025-11-10 00:00:00+00:00,104723.7734375,106564.6953125,104350.6484375,105996.59375,69585887229,104482.39496527778,108037.20833333333,0,1,,
2025-11-11 00:00:00+00:00,105996.859375,107428.2578125,102457.328125,102997.46875,71130078574,103633.26649305556,107776.28348214286,0,1,,
2025-11-12 00:00:00+00:00,103011.4375,105297.234375,100836.6171875,101663.1875,64347179408,103090.5625,107489.35974702382,0,1,,
2025-11-13 00:00:00+00:00,101674.1484375,104005.4921875,97988.71875,99697.4921875,101546815416,102880.22569444444,106995.44382440476,0,1,,
2025-11-14 00:00:00+00:00,99694.703125,99804.4296875,94000.734375,94397.7890625,114346441890,101825.33159722222,106203.24702380953,0,1,,
2025-11-15 00:00:00+00:00,94420.46875,96728.46875,94420.46875,95549.1484375,38500716654,101186.20486111111,105436.93377976191,0,1,,
2025-11-16 00:00:00+00:00,95556.8671875,96564.1875,92971.1640625,94177.078125,71086235862,100164.50173611111,104470.48772321429,0,1,,
2025-11-17 00:00:00+00:00,94180.875,95928.3671875,91214.7578125,92093.875,94186165724,99032.47482638889,103421.65662202382,0,1,,
2025-11-18 00:00:00+00:00,92094.53125,93745.078125,89300.4609375,92948.875,101333569062,97724.61197916667,102468.92857142857,0,1,,
2025-11-19 00:00:00+00:00,92946.1640625,92946.1640625,88526.828125,91465.9921875,80350354656,96110.10069444444,101583.72321428571,0,1,,
2025-11-20 00:00:00+00:00,91459.3515625,93025.0703125,86040.796875,86631.8984375,97970645638,94291.70399305556,100551.64471726191,0,1,,
2025-11-21 00:00:00+00:00,86528.7734375,87380.8046875,80659.8125,85090.6875,129157506112,92450.31510416667,99386.62202380953,0,1,,
2025-11-22 00:00:00+00:00,85098.5625,85503.0078125,83490.8984375,84648.359375,40793099246,90778.18923611111,98176.35267857143,0,1,,
